요양기관명,소재지,요양종별,X좌표,Y좌표
서울가정의원,"서울특별시 광진구 아차산로29길 51, 2층 (화양동)",의원,961933.0,1949398.0
서울가정의원,"서울특별시 중구 퇴계로86길 11, 2층 (신당동)",의원,957596.0,1951849.0
서울가정의학과의원,서울특별시 성동구 독서당로 384 (응봉동),의원,958581.0,1950166.0
서울가정의학과의원,"서울특별시 마포구 포은로 68, 2층 (망원동)",의원,947561.0,1950600.0
서울가정의학과의원,"서울특별시 서대문구 세검정로1길 93, 상가A동 207호 (홍은동, 벽산아파트)",의원,951054.0,1955154.0
서울가정의학과의원,"서울특별시 종로구 통일로12길 23, 308호 (무악동, 무악현대아상가)",의원,952367.0,1952894.0
서울가정의학과의원,서울특별시 강북구 솔샘로 243 (미아동),의원,957611.0,1957952.0
서울가정의학과의원,"서울특별시 구로구 디지털로31길 90, 가동 209호 (구로동, 삼성래미안아파트)",의원,946225.0,1943340.0
서울가정의학과의원,"서울특별시 강서구 가로공원로76길 56, 2층 (화곡동)",의원,941496.0,1948563.0
서울가정의학과의원,서울특별시 강동구 양재대로 1466 (길동),의원,968183.0,1948665.0
서울가정의학과의원,"서울특별시 노원구 중계로14길 29, 2층 (중계동)",의원,963124.0,1961231.0
서울강남재활의학과의원,"서울특별시 강남구 선릉로 227, 102호 (도곡동)",의원,960465.0,1944159.0
서울건강내과의원,"서울특별시 광진구 자양로15길 51-1, 진덕빌딩 2층 (자양동)",의원,962959.0,1948505.0
서울건우정형외과의원,"서울특별시 강동구 고덕로 429, 2,3층 (강일동)",의원,971162.0,1950954.0
서울굿모닝내과의원,"서울특별시 광진구 뚝섬로 595, 2층 (자양동)",의원,962558.0,1948295.0
서울권앤김내과의원,"서울특별시 송파구 석촌호수로 61, 3층 308호 (잠실동, 트리지움상가)",의원,963429.0,1945802.0
서울김내과의원,"서울특별시 동작구 장승배기로 34, 대한카센타 4층 (상도동)",의원,950639.0,1944800.0
서울김정아소아청소년과의원,"서울특별시 관악구 관악로 234, 2층 (봉천동)",의원,951933.0,1942998.0
서울내과의원,서울특별시 도봉구 도봉로 488 (창동),의원,959003.0,1961158.0
서울내과의원,"서울특별시 광진구 광나루로 351, 2층 (군자동)",의원,961927.0,1949985.0
서울내과의원,"서울특별시 중구 청구로 70, 5층 (신당동)",의원,957131.0,1951307.0
서울내과의원,"서울특별시 중랑구 공릉로2길 8-4, 2층 203~206호 (묵동, 칼튼테라스)",의원,962797.0,1957007.0
서울내과의원,"서울특별시 강서구 양천로 73, 2층 201호 (방화동)",의원,939231.0,1952928.0
서울내과의원,"서울특별시 영등포구 의사당대로 26, 208, 209호 (여의도동)",의원,948569.0,1947616.0
서울넘버원내과의원,"서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 5층 501-2호 (창동)",의원,960288.0,1961751.0
서울늘열린의원,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",의원,967768.0,1947510.0
