"시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균운량 (10%),일조시간 (hr),바람 (m/s),바람 (m/s),바람 (m/s)
"시점",평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,평균풍속,최대풍속,최대순간풍속
"1995. 12",-1.0,3.0,6.9,-4.4,-10.3,3.4,55.1,20.0,2.8,183.7,2.2,7.7,19.0
"1996. 01",-2.2,2.3,9.8,-5.6,-10.7,16.3,51.0,10.0,3.6,188.3,2.4,8.2,17.8
"1996. 02",-1.6,3.2,14.0,-5.5,-13.8,1.0,47.0,10.0,3.0,180.4,2.7,7.8,18.0
"1996. 03",4.9,9.5,17.5,1.0,-3.8,77.9,54.0,9.0,5.2,189.8,2.7,8.0,17.4
"1996. 04",10.2,15.1,23.3,5.9,0.9,62.0,52.0,11.0,3.8,247.4,3.0,7.3,21.0
"1996. 05",18.4,24.2,31.4,13.3,9.8,29.3,58.0,13.0,4.2,264.0,2.2,7.0,15.1
"1996. 06",22.3,26.5,32.7,19.1,15.1,249.7,75.0,27.0,8.1,129.5,1.9,11.7,27.5
"1996. 07",24.4,28.3,34.6,21.2,16.6,512.8,76.0,34.0,7.6,146.2,1.9,7.3,24.8
"1996. 08",26.0,29.8,35.4,22.9,17.6,132.4,73.0,31.0,6.2,140.7,1.7,6.0,10.2
"1996. 09",22.0,27.3,30.9,17.5,11.6,11.0,66.0,19.0,3.9,211.0,1.8,6.0,10.2
"1996. 10",14.5,19.4,23.8,10.0,0.4,90.3,63.0,14.0,4.3,175.8,2.0,8.0,13.2
"1996. 11",6.1,10.3,18.8,2.4,8.0,62.9,64.0,17.0,4.5,148.8,2.2,9.7,16.0
"1996. 12",1.6,6.0,12.7,-2.5,-10.5,11.0,59.0,16.0,3.6,146.2,2.2,10.0,19.6
"1997. 01",-3.3,1.2,8.0,-7.1,-13.7,16.8,58.0,21.0,3.2,148.1,2.6,12.3,23.7
"1997. 02",0.7,5.6,15.1,-3.5,-8.1,39.6,54.0,12.0,2.6,188.8,2.6,11.2,17.6
"1997. 03",6.8,11.8,20.2,2.5,-4.3,25.3,56.0,19.0,3.2,226.3,2.8,12.7,15.8
"1997. 04",13.0,18.1,22.3,8.4,2.7,56.1,55.0,15.0,3.8,227.1,2.7,11.0,16.9
